关系编号,源资料编号,源标题,源发布日期,目标资料编号,目标标题,目标发布日期,关系类型,主题链条,区域路径,匹配依据,证据文本,置信度,是否人工确认,备注
EVO-00379,AUTO-20260502-887CA055C6,关于统调统分燃煤发电市场化交易配比电量上网电价有关事项的通知（川发改价格〔2021〕265号）,2021-08-09,AUTO-20260502-F19174E368,关于印发《福建省电力市场中长期交易规则》补充修订内容的通知,2021-03-19,地方承接,电力市场,四川->福建,主题链条：电力市场；国家/区域/地方层级承接,关于统调统分燃煤发电市场化交易配比电量上网电价有关事项的通知（川发改价格〔2021〕265号） 与 关于印发《福建省电力市场中长期交易规则》补充修订内容的通知 属于同一研究链条,中,否,
EVO-00380,AUTO-20260427-FA91B2D801,华北能源监管局关于再次征求华北电力调峰容量市场运营规则意见通知,2021-09-06,AUTO-20260502-3309DC7CA7,关于开展电力市场交易规则体系建设情况调研的函,2021-05-12,地方承接,电力市场,华北区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,华北能源监管局关于再次征求华北电力调峰容量市场运营规则意见通知 与 关于开展电力市场交易规则体系建设情况调研的函 属于同一研究链条,中,否,
EVO-00381,AUTO-20260427-FA91B2D801,华北能源监管局关于再次征求华北电力调峰容量市场运营规则意见通知,2021-09-06,AUTO-20260502-F19174E368,关于印发《福建省电力市场中长期交易规则》补充修订内容的通知,2021-03-19,地方承接,电力市场,华北区域->福建,主题链条：电力市场；国家/区域/地方层级承接,华北能源监管局关于再次征求华北电力调峰容量市场运营规则意见通知 与 关于印发《福建省电力市场中长期交易规则》补充修订内容的通知 属于同一研究链条,中,否,
EVO-00382,AUTO-20260502-D90E15BDC5,关于印发《南方区域电力市场监管实施办法（试行）》的通知,2021-10-26,AUTO-20260427-51EB30208F,关于印发《跨省跨区专项工程输电价格定价办法》的通知(发改价格规〔2021〕1455号),2021-10-15,地方承接,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,关于印发《南方区域电力市场监管实施办法（试行）》的通知 与 关于印发《跨省跨区专项工程输电价格定价办法》的通知(发改价格规〔2021〕1455号) 属于同一研究链条,中,否,
EVO-00383,AUTO-20260502-D90E15BDC5,关于印发《南方区域电力市场监管实施办法（试行）》的通知,2021-10-26,AUTO-20260427-42E984C2AA,关于进一步深化燃煤发电上网电价市场化改革的通知(发改价格〔2021〕1439号),2021-10-12,地方承接,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,关于印发《南方区域电力市场监管实施办法（试行）》的通知 与 关于进一步深化燃煤发电上网电价市场化改革的通知(发改价格〔2021〕1439号) 属于同一研究链条,中,否,
EVO-00384,AUTO-20260427-D18D54C2E0,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知,2021-11-23,AUTO-20260427-A83640585B,关于印发《江苏电力市场用户可调负荷参与辅助服务市场交易规则（试行）》的通知,2020-11-10,地方承接,电力市场;辅助服务,华中区域->江苏,主题链条：电力市场；国家/区域/地方层级承接,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知 与 关于印发《江苏电力市场用户可调负荷参与辅助服务市场交易规则（试行）》的通知 属于同一研究链条,中,否,
EVO-00385,AUTO-20260427-D18D54C2E0,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知,2021-11-23,AUTO-20260502-2D4C6E9F5F,华北能源监管局关于印发蒙西电力市场调频、备用两个辅助服务交易实施细则的通知,2020-06-18,地方承接,电力市场;辅助服务,华中区域->华北区域,主题链条：电力市场；国家/区域/地方层级承接,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知 与 华北能源监管局关于印发蒙西电力市场调频、备用两个辅助服务交易实施细则的通知 属于同一研究链条,中,否,
EVO-00386,AUTO-20260502-10954479AD,市工业和信息化局关于做好天津市2022年电力市场化交易工作的通知,2021-12-20,AUTO-20260427-D18D54C2E0,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知,2021-11-23,地方承接,电力市场,天津->华中区域,主题链条：电力市场；国家/区域/地方层级承接,市工业和信息化局关于做好天津市2022年电力市场化交易工作的通知 与 华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知 属于同一研究链条,中,否,
EVO-00387,AUTO-20260502-10954479AD,市工业和信息化局关于做好天津市2022年电力市场化交易工作的通知,2021-12-20,AUTO-20260502-D90E15BDC5,关于印发《南方区域电力市场监管实施办法（试行）》的通知,2021-10-26,地方承接,电力市场,天津->南方区域,主题链条：电力市场；国家/区域/地方层级承接,市工业和信息化局关于做好天津市2022年电力市场化交易工作的通知 与 关于印发《南方区域电力市场监管实施办法（试行）》的通知 属于同一研究链条,中,否,
EVO-00388,AUTO-20260502-E3C5794853,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知,2022-01-07,AUTO-20260502-63CC94BB35,福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函,2021-12-29,地方承接,电力市场,南方区域->福建,主题链条：电力市场；国家/区域/地方层级承接,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 与 福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函 属于同一研究链条,中,否,
EVO-00389,AUTO-20260502-E3C5794853,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知,2022-01-07,AUTO-20260427-D18D54C2E0,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知,2021-11-23,地方承接,电力市场,南方区域->华中区域,主题链条：电力市场；国家/区域/地方层级承接,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 与 华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知 属于同一研究链条,中,否,
EVO-00390,AUTO-20260502-08415C6396,南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系,2022-01-19,AUTO-20260502-E3C5794853,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知,2022-01-07,地方承接,电力市场,南方区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系 与 关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 属于同一研究链条,中,否,
EVO-00391,AUTO-20260502-08415C6396,南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系,2022-01-19,AUTO-20260502-63CC94BB35,福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函,2021-12-29,地方承接,电力市场,南方区域->福建,主题链条：电力市场；国家/区域/地方层级承接,南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系 与 福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函 属于同一研究链条,中,否,
EVO-00392,AUTO-20260427-ED23AB24F7,关于印发《南方区域绿色电力交易规则（试行）》的通知,2022-01-28,AUTO-20260502-08415C6396,南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系,2022-01-19,地方承接,电力市场,南方区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发《南方区域绿色电力交易规则（试行）》的通知 与 南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系 属于同一研究链条,中,否,
EVO-00393,AUTO-20260427-ED23AB24F7,关于印发《南方区域绿色电力交易规则（试行）》的通知,2022-01-28,AUTO-20260502-E3C5794853,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知,2022-01-07,地方承接,电力市场,南方区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发《南方区域绿色电力交易规则（试行）》的通知 与 关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 属于同一研究链条,中,否,
EVO-00394,AUTO-20260427-ACF967E65E,华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知,2022-04-01,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,2022-01-30,地方承接,电力市场,华中区域->全国,主题链条：电力市场；国家/区域/地方层级承接,华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知 与 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 属于同一研究链条,中,否,
EVO-00395,AUTO-20260427-ACF967E65E,华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知,2022-04-01,AUTO-20260502-08415C6396,南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系,2022-01-19,地方承接,电力市场,华中区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知 与 南方能源监管局审定发布2022年南方（以广东起步）现货市场试运行市场规则体系 属于同一研究链条,中,否,
EVO-00396,AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,2022-04-18,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,2022-01-30,配套文件,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,关于审定广西电力市场中长期电能量交易等实施细则的复函 与 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 属于同一研究链条,中,否,
EVO-00397,AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,2022-04-18,AUTO-20260502-63CC94BB35,福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函,2021-12-29,配套文件,电力市场,南方区域->福建,主题链条：电力市场；国家/区域/地方层级承接,关于审定广西电力市场中长期电能量交易等实施细则的复函 与 福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函 属于同一研究链条,中,否,
EVO-00398,AUTO-20260502-5CD4474B0A,广东省发展改革委 广东省能源局转发关于进一步推动新型储能参与电力市场和调度运用和“十四五”新型储能发展实施方案的通知,2022-06-24,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场;储能,广东->全国,主题链条：电力市场；国家/区域/地方层级承接,广东省发展改革委 广东省能源局转发关于进一步推动新型储能参与电力市场和调度运用和“十四五”新型储能发展实施方案的通知 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00399,AUTO-20260502-5CD4474B0A,广东省发展改革委 广东省能源局转发关于进一步推动新型储能参与电力市场和调度运用和“十四五”新型储能发展实施方案的通知,2022-06-24,AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,2022-04-18,地方承接,电力市场;储能,广东->南方区域,主题链条：电力市场；国家/区域/地方层级承接,广东省发展改革委 广东省能源局转发关于进一步推动新型储能参与电力市场和调度运用和“十四五”新型储能发展实施方案的通知 与 关于审定广西电力市场中长期电能量交易等实施细则的复函 属于同一研究链条,中,否,
EVO-00400,AUTO-20260502-DEF04B1A76,市工业和信息化局关于做好天津市2023年电力市场化交易工作的通知,2022-11-16,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场,天津->全国,主题链条：电力市场；国家/区域/地方层级承接,市工业和信息化局关于做好天津市2023年电力市场化交易工作的通知 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00401,AUTO-20260502-DEF04B1A76,市工业和信息化局关于做好天津市2023年电力市场化交易工作的通知,2022-11-16,AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,2022-04-18,地方承接,电力市场,天津->南方区域,主题链条：电力市场；国家/区域/地方层级承接,市工业和信息化局关于做好天津市2023年电力市场化交易工作的通知 与 关于审定广西电力市场中长期电能量交易等实施细则的复函 属于同一研究链条,中,否,
EVO-00402,AUTO-20260502-DAE6DF96FD,广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知,2023-04-04,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场;储能,广东->全国,主题链条：电力市场；国家/区域/地方层级承接,广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00403,AUTO-20260502-DAE6DF96FD,广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知,2023-04-04,AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,2022-04-18,地方承接,电力市场;储能,广东->南方区域,主题链条：电力市场；国家/区域/地方层级承接,广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知 与 关于审定广西电力市场中长期电能量交易等实施细则的复函 属于同一研究链条,中,否,
EVO-00404,AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,2023-10-08,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00405,AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,2023-10-08,AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,2022-04-18,地方承接,电力市场,南方区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知 与 关于审定广西电力市场中长期电能量交易等实施细则的复函 属于同一研究链条,中,否,
EVO-00406,AUTO-20260502-3905C0AD10,山西省发展和改革委员会山西省能源局关于印发《山西省煤炭行业碳达峰实施方案》的通知,2023-10-19,AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,2023-10-08,地方承接,电力市场,山西->南方区域,主题链条：电力市场；国家/区域/地方层级承接,山西省发展和改革委员会山西省能源局关于印发《山西省煤炭行业碳达峰实施方案》的通知 与 关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知 属于同一研究链条,中,否,
EVO-00407,AUTO-20260502-3905C0AD10,山西省发展和改革委员会山西省能源局关于印发《山西省煤炭行业碳达峰实施方案》的通知,2023-10-19,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场,山西->全国,主题链条：电力市场；国家/区域/地方层级承接,山西省发展和改革委员会山西省能源局关于印发《山西省煤炭行业碳达峰实施方案》的通知 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00408,AUTO-20260427-C4E6EA0484,关于印发山西省电力市场化交易专项整治工作方案的通知,2023-10-20,AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,2023-10-08,地方承接,电力市场,山西->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发山西省电力市场化交易专项整治工作方案的通知 与 关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知 属于同一研究链条,中,否,
EVO-00409,AUTO-20260427-C4E6EA0484,关于印发山西省电力市场化交易专项整治工作方案的通知,2023-10-20,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场,山西->全国,主题链条：电力市场；国家/区域/地方层级承接,关于印发山西省电力市场化交易专项整治工作方案的通知 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00410,AUTO-20260427-9BE26E7413,市工业和信息化局关于做好天津市2024年电力市场化交易工作的通知_委局文件_政务公开,2023-11-07,AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,2023-10-08,地方承接,电力市场,天津->南方区域,主题链条：电力市场；国家/区域/地方层级承接,市工业和信息化局关于做好天津市2024年电力市场化交易工作的通知_委局文件_政务公开 与 关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知 属于同一研究链条,中,否,
EVO-00411,AUTO-20260427-9BE26E7413,市工业和信息化局关于做好天津市2024年电力市场化交易工作的通知_委局文件_政务公开,2023-11-07,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,地方承接,电力市场,天津->全国,主题链条：电力市场；国家/区域/地方层级承接,市工业和信息化局关于做好天津市2024年电力市场化交易工作的通知_委局文件_政务公开 与 关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号) 属于同一研究链条,中,否,
EVO-00412,AUTO-20260502-26D33939CF,国家能源局西北监管局关于印发《西北区域电力并网运行管理实施细则》《西北区域电力辅助服务管理实施细则》的通知,2023-11-22,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,2022-01-30,配套文件,电力市场;辅助服务,西北区域->全国,主题链条：电力市场；国家/区域/地方层级承接,国家能源局西北监管局关于印发《西北区域电力并网运行管理实施细则》《西北区域电力辅助服务管理实施细则》的通知 与 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 属于同一研究链条,中,否,
EVO-00413,AUTO-20260502-26D33939CF,国家能源局西北监管局关于印发《西北区域电力并网运行管理实施细则》《西北区域电力辅助服务管理实施细则》的通知,2023-11-22,AUTO-20260427-D18D54C2E0,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知,2021-11-23,配套文件,电力市场;辅助服务,西北区域->华中区域,主题链条：电力市场；国家/区域/地方层级承接,国家能源局西北监管局关于印发《西北区域电力并网运行管理实施细则》《西北区域电力辅助服务管理实施细则》的通知 与 华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知 属于同一研究链条,中,否,
EVO-00414,AUTO-20260427-EE7FE966EB,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知,2023-11-24,AUTO-20260502-26D33939CF,国家能源局西北监管局关于印发《西北区域电力并网运行管理实施细则》《西北区域电力辅助服务管理实施细则》的通知,2023-11-22,配套文件,电力市场,南方区域->西北区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知 与 国家能源局西北监管局关于印发《西北区域电力并网运行管理实施细则》《西北区域电力辅助服务管理实施细则》的通知 属于同一研究链条,中,否,
EVO-00415,AUTO-20260427-EE7FE966EB,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知,2023-11-24,AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,2023-10-08,配套文件,电力市场,南方区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知 与 关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知 属于同一研究链条,中,否,
EVO-00416,AUTO-20260427-A5A96B278D,关于印发电力市场规则体系（V14.0）的通知,2024-01-24,AUTO-20260426-09ACA5D018,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,2024-01-08,地方承接,电力市场,山西->山东,主题链条：电力市场；国家/区域/地方层级承接,关于印发电力市场规则体系（V14.0）的通知 与 关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 属于同一研究链条,中,否,
EVO-00417,AUTO-20260427-A5A96B278D,关于印发电力市场规则体系（V14.0）的通知,2024-01-24,AUTO-20260427-EE7FE966EB,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知,2023-11-24,地方承接,电力市场,山西->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发电力市场规则体系（V14.0）的通知 与 关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知 属于同一研究链条,中,否,
EVO-00418,AUTO-20260427-98DA675CE3,关于印发电力市场规则体系（V14.0）的通知,2024-01-24,AUTO-20260426-09ACA5D018,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,2024-01-08,地方承接,电力市场,山西->山东,主题链条：电力市场；国家/区域/地方层级承接,关于印发电力市场规则体系（V14.0）的通知 与 关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 属于同一研究链条,中,否,
EVO-00419,AUTO-20260427-98DA675CE3,关于印发电力市场规则体系（V14.0）的通知,2024-01-24,AUTO-20260427-EE7FE966EB,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知,2023-11-24,地方承接,电力市场,山西->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于印发电力市场规则体系（V14.0）的通知 与 关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知 属于同一研究链条,中,否,
EVO-00420,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,AUTO-20260426-0E5C62271F,《山东电力市场规则(试行)》编制说明,2024-04-20,地方承接,电力市场,南方区域->山东,主题链条：电力市场；国家/区域/地方层级承接,电力市场运行基本规则 与 《山东电力市场规则(试行)》编制说明 属于同一研究链条,中,否,
EVO-00421,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,AUTO-20260426-0A6267C300,关于征求《山东电力市场参数(试行)》(征求意见稿)意见的公告,2024-04-19,地方承接,电力市场,南方区域->山东,主题链条：电力市场；国家/区域/地方层级承接,电力市场运行基本规则 与 关于征求《山东电力市场参数(试行)》(征求意见稿)意见的公告 属于同一研究链条,中,否,
EVO-00422,AUTO-20260427-D81BDF16D0,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则）,2024-04-28,AUTO-20260426-0E5C62271F,《山东电力市场规则(试行)》编制说明,2024-04-20,地方承接,电力市场,南方区域->山东,主题链条：电力市场；国家/区域/地方层级承接,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则） 与 《山东电力市场规则(试行)》编制说明 属于同一研究链条,中,否,
EVO-00423,AUTO-20260427-D81BDF16D0,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则）,2024-04-28,AUTO-20260426-0A6267C300,关于征求《山东电力市场参数(试行)》(征求意见稿)意见的公告,2024-04-19,地方承接,电力市场,南方区域->山东,主题链条：电力市场；国家/区域/地方层级承接,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则） 与 关于征求《山东电力市场参数(试行)》(征求意见稿)意见的公告 属于同一研究链条,中,否,
EVO-00424,AUTO-20260427-CA2DDC4243,关于发布广东电力市场配套实施细则（2024年修订）的通知,2024-05-10,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,配套文件,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,关于发布广东电力市场配套实施细则（2024年修订）的通知 与 电力市场运行基本规则_国家发展和改革委员会 属于同一研究链条,中,否,
EVO-00425,AUTO-20260427-CA2DDC4243,关于发布广东电力市场配套实施细则（2024年修订）的通知,2024-05-10,AUTO-20260426-0E5C62271F,《山东电力市场规则(试行)》编制说明,2024-04-20,配套文件,电力市场,南方区域->山东,主题链条：电力市场；国家/区域/地方层级承接,关于发布广东电力市场配套实施细则（2024年修订）的通知 与 《山东电力市场规则(试行)》编制说明 属于同一研究链条,中,否,
EVO-00426,AUTO-20260427-8933E85058,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知,2024-07-17,AUTO-20260502-99BECE515C,关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17,2024-06-17,地方承接,电力市场,广东->四川,主题链条：电力市场；国家/区域/地方层级承接,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知 与 关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17 属于同一研究链条,中,否,
EVO-00427,AUTO-20260427-8933E85058,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知,2024-07-17,AUTO-20260426-CAE77C6F94,关于印发《山东电力市场参数（试行）》的通知,2024-05-31,地方承接,电力市场,广东->山东,主题链条：电力市场；国家/区域/地方层级承接,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知 与 关于印发《山东电力市场参数（试行）》的通知 属于同一研究链条,中,否,
EVO-00428,AUTO-20260427-890E791E0D,可再生能源绿色电力证书核发和交易规则,2024-08-26,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,地方承接,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,可再生能源绿色电力证书核发和交易规则 与 电力市场运行基本规则_国家发展和改革委员会 属于同一研究链条,中,否,
EVO-00429,AUTO-20260427-890E791E0D,可再生能源绿色电力证书核发和交易规则,2024-08-26,AUTO-20260502-99BECE515C,关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17,2024-06-17,地方承接,电力市场,南方区域->四川,主题链条：电力市场；国家/区域/地方层级承接,可再生能源绿色电力证书核发和交易规则 与 关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17 属于同一研究链条,中,否,
EVO-00430,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,地方承接,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,电力市场注册基本规则 与 国家能源局关于印发《电力市场注册基本规则》的通知 属于同一研究链条,中,否,
EVO-00431,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,AUTO-20260502-99BECE515C,关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17,2024-06-17,地方承接,电力市场,南方区域->四川,主题链条：电力市场；国家/区域/地方层级承接,电力市场注册基本规则 与 关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17 属于同一研究链条,中,否,
EVO-00432,AUTO-20260427-FBC65BBD1E,贵州电力市场规则,2024-11-02,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,地方承接,电力市场,南方区域->全国,主题链条：电力市场；国家/区域/地方层级承接,贵州电力市场规则 与 国家能源局关于印发《电力市场注册基本规则》的通知 属于同一研究链条,中,否,
EVO-00433,AUTO-20260427-FBC65BBD1E,贵州电力市场规则,2024-11-02,AUTO-20260502-99BECE515C,关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17,2024-06-17,地方承接,电力市场,南方区域->四川,主题链条：电力市场；国家/区域/地方层级承接,贵州电力市场规则 与 关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17 属于同一研究链条,中,否,
EVO-00434,AUTO-20260427-F33CEF16E8,关于南方区域电力市场全月结算试运行市场监管有关事项,2024-11-02,AUTO-20260502-E3C5794853,关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知,2022-01-07,地方承接,电力市场,南方区域->南方区域,主题链条：电力市场；国家/区域/地方层级承接,关于南方区域电力市场全月结算试运行市场监管有关事项 与 关于南方（以广东起步）电力现货市场 2022年结算试运行市场监管有关事项的通知 属于同一研究链条,中,否,
